Visible Actions,Stemmed Visible Actions
add in your baking powder,add in your baking powder
take our two eggs,take our two eggs
using either a whisk or a fork,use either a whisk or a fork
cleaning under my desk,clean under my desk
putting away things,put away things
make my bed,make my bed
using my honest beauty everyday moisturizer,use my honest beauty everyday moisturizer
getting ready for the day shower first thing in the morning,get ready for the day shower first thing in the morning
disinfect,disinfect
use in my kitchen,use in my kitchen
cleaning all over my house,clean all over my house
make a really easy diy disinfectant with distilled water,make a really easy diy disinfectant with distilled water
mix that together,mix that together
using microfiber cloths,use microfiber cloths
put distilled water,put distilled water
make oatmeal,make oatmeal
cook the oats for an extra few minutes,cook the oats for an extra few minutes
cook half a cup of dry rolled oats with two cups of water,cook half a cup of dry rolled oats with two cups of water
walk my dog max dust,walk my dog max dust
add in some vanilla almond milk,add in some vanilla almond milk
mix it all up with my special bamboo tea whisk,mix it all up with my special bamboo tea whisk
sniff around once,sniff around once
mix one teaspoon with water,mix one teaspoon with water
stir that all together,stir that all together
whisked together some,whisk together some
do this,do this
take them over to the saute pan,take them over to the saute pan
do greek yogurt,do greek yogurt
go like a little burrito,go like a little burrito
roll these up,roll these up
take it with,take it with
check out my blog,check out my blog
give this video a thumbs up,give this video a thumb up
blend all of these together,blend all of these together
flip it,flip it
mop in my master bathroom,mop in my master bathroom
dust with a little duster in the bathroom,dust with a little duster in the bathroom
use the steam,use the steam
try to dust once a week,try to dust once a week
added a little bit of water,add a little bit of water
put small balls on a baking sheet,put small balls on a baking sheet
gave him one,give him one
make it from a dry to a more wet consistency kind of like a cookie dough,make it from a dry to a more wet consistency kind of like a cookie dough
doing kind of like another vlog,do kind of like another vlog
take my camera around with me,take my camera around with me
check out my last video down the bottom,check out my last video down the bottom
take these top pieces,take these top pieces
tease some of it,tease some of it
go with the comb towards your head,go with the comb towards your head
twist it a bit,twist it a bit
take a comb,take a comb
take this kendra volume spray super,take this kendra volume spray super
put it in an x formation,put it in an x formation
slip it,slip it
take it,take it
look the way,look the way
make it,make it
punch a circle out of your paper,punch a circle out of your paper
peel off your stickers,peel off your stickers
using photographs,use photographs
peel it off,peel it off
place it on top of your circle,place it on top of your circle
attach it with a hot glue gun,attach it with a hot glue gun
adding the basil,add the basil
serve,serve
add a little bit of extra flavor,add a little bit of extra flavor
serving that onto a plate,serve that onto a plate
adding some fresh basil,add some fresh basil
add in my dry ingredients in a sifter,add in my dry ingredients in a sifter
throw in some vanilla extract almond milk,throw in some vanilla extract almond milk
throw on the pancakes,throw on the pancakes
mixes it,mix it
add in some frozen wild blueberries,add in some frozen wild blueberries
mix that all up,mix that all up
throw in some eggs,throw in some eggs
waste another bowl,waste another bowl
put cashews on top,put cashews on top
prepare mine with avocado,prepare mine with avocado
reheat these,reheat these
set aside some,set aside some
taking oatmeal to the next level,take oatmeal to the next level
use the highlighter,use the highlighter
blend it out with a beauty blender,blend it out with a beauty blender
using the magic foundation by charlotte tilbury,use the magic foundation by charlotte tilbury
apply bronzer on to my cheekbones,apply bronzer on to my cheekbones
cleaning it,clean it
slide it all the way,slide it all the way
put your ponytail in between the two slots,put your ponytail in between the two slots
put it in a really really really tight ponytail,put it in a really really really tight ponytail
roll it down towards your head,roll it down towards your head
secure that with two hair elastics,secure that with two hair elastics
remove all of that fluff,remove all of that fluff
pick up tiny little bits of white fluff,pick up tiny little bits of white fluff
vacuum at least like two times a week,vacuum at least like two times a week
get on top of them that fluffy rug on my floor,get on top of them that fluffy rug on my floor
vacuuming it,vacuum it
